proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct
DISFARMA,GIRON,EUROFARMA,20137607-05,DESVENLAFAXINA 100MG TAB LIB PRO CX30 (DESVE) - EUROFARMA,60750,DESVENLAFAXINA,89760.0,Circular 19 de 2024,0.6768048128342246,-29010.0,-32.31951871657754
DISFARMA,BOGOTA,GALENICUM,20137885-01,CASPOFUNGINA 50MG POL INY VIAL CX1 (CASPOVITAE) - GALENICUM,174990,CASPOFUNGINA,1011709.0,Circular 19 de 2024,0.17296475567579214,-836719.0,-82.70352443242078
DISFARMA,CALI,GALENICUM,20137885-01,CASPOFUNGINA 50MG POL INY VIAL CX1 (CASPOVITAE) - GALENICUM,174990,CASPOFUNGINA,1011709.0,Circular 19 de 2024,0.17296475567579214,-836719.0,-82.70352443242078
DISFARMA,GIRON,GALENICUM,20137885-01,CASPOFUNGINA 50MG POL INY VIAL CX1 (CASPOVITAE) - GALENICUM,174990,CASPOFUNGINA,1011709.0,Circular 19 de 2024,0.17296475567579214,-836719.0,-82.70352443242078
DISFARMA,GIRON,XINETIX PHARMA,20138252-01,CASPOFUNGINA 70MG POL INY VIAL CX1 (CAXOFU) - XINETIX PHARMA,263889,CASPOFUNGINA,1416392.6,Circular 19 de 2024,0.1863106316709082,-1152503.6,-81.36893683290918
DISFARMA,GIRON,LEGRAND,20138821-02,RITUXIMAB 100MG/10ML SOL INY C*1 VIAL (IXIMAB) - LEGRAND,316500,RITUXIMAB,947510.0,Circular 19 de 2024,0.33403341389536784,-631010.0,-66.59665861046321
DISFARMA,CALI,LEGRAND,20138823-02,SOLIFENACINA SUCCINATO 5MG TAB CX30 (SOLIPLEX) - LEGRAND,37050,SOLIFENACINA SUCCINATO,79858.5,Circular 19 de 2024,0.46394560378669775,-42808.5,-53.605439621330234
DISFARMA,BOGOTA,LEGRAND,20138824-02,SOLIFENACINA SUCCINATO 10MG TAB CX30 (SOLIPLEX) - LEGRAND,82470,SOLIFENACINA SUCCINATO,159717.0,Circular 19 de 2024,0.5163507954694867,-77247.0,-48.36492045305133
DISFARMA,CALI,CYH LAB,20139041-02,LACOSAMIDA 200MG TAB CX30 - CYH LAB,37830,LACOSAMIDA,329220.0,Circular 19 de 2024,0.1149079642792054,-291390.0,-88.50920357207947
DISFARMA,CALI,CYH LAB,20139127-02,LACOSAMIDA 100MG TAB CX30 - CYH LAB,19860,LACOSAMIDA,164610.0,Circular 19 de 2024,0.12064880626936395,-144750.0,-87.93511937306361
DISFARMA,CALI,ABBVIE,20139971-03,VENETOCLAX 100MG TAB FCOX120 CX1 (VENCLEXTA) - ABBVIE,21120000,VENETOCLAX,25729800.0,Circular 19 de 2024,0.8208380943497423,-4609800.0,-17.91619056502577
DISFARMA,GIRON,ABBVIE,20139971-03,VENETOCLAX 100MG TAB FCOX120 CX1 (VENCLEXTA) - ABBVIE,21120000,VENETOCLAX,25729800.0,Circular 19 de 2024,0.8208380943497423,-4609800.0,-17.91619056502577
DISFARMA,GIRON,MSN,20140090-02,OLMESARTAN MEDOXOMIL 20MG TAB CX30 (STAROLMI) - MSN,11370,OLMESARTAN MEDOXOMIL,26730.0,Circular 19 de 2024,0.42536475869809204,-15360.0,-57.463524130190805
DISFARMA,BOGOTA,HETERO,20141006-02,EZETIMIBA 10MG TAB CX21 (ZEMIB) - HETERO,11300,EZETIMIBA,87299.1,Circular 19 de 2024,0.12944005150110366,-75999.1,-87.05599484988963
DISFARMA,CALI,HETERO,20141006-02,EZETIMIBA 10MG TAB CX21 (ZEMIB) - HETERO,11300,EZETIMIBA,87299.1,Circular 19 de 2024,0.12944005150110366,-75999.1,-87.05599484988963
DISFARMA,GIRON,HETERO,20141006-02,EZETIMIBA 10MG TAB CX21 (ZEMIB) - HETERO,11300,EZETIMIBA,87299.1,Circular 19 de 2024,0.12944005150110366,-75999.1,-87.05599484988963
DISFARMA,BOGOTA,HETERO,20141121-01,IRINOTECAN 100MG/5ML SOL INY VIALX5ML CX1 (ROTECAN) - HETERO,39400,IRINOTECAN,109683.0,Circular 19 de 2024,0.3592170163106407,-70283.0,-64.07829836893593
DISFARMA,GIRON,HETERO,20141121-01,IRINOTECAN 100MG/5ML SOL INY VIALX5ML CX1 (ROTECAN) - HETERO,39400,IRINOTECAN,109683.0,Circular 19 de 2024,0.3592170163106407,-70283.0,-64.07829836893593
DISFARMA,BOGOTA,GALENICUM,20141722-02,EXEMESTANO 25MG C*30 TAB (EXEVITAE) - GALENICUM,90900,EXEMESTANO,216337.5,Circular 19 de 2024,0.4201768070722829,-125437.5,-57.98231929277171
DISFARMA,GIRON,GALENICUM,20141722-02,EXEMESTANO 25MG C*30 TAB (EXEVITAE) - GALENICUM,90900,EXEMESTANO,216337.5,Circular 19 de 2024,0.4201768070722829,-125437.5,-57.98231929277171
DISFARMA,BOGOTA,HETERO,20142074-01,HIDROCLOROTIAZIDA+TELMISARTAN 25MG+80MG TAB CX30 (TEMILTAR H) - HETERO,17250,HIDROCLOROTIAZIDA+TELMISARTAN,51864.0,Circular 19 de 2024,0.3326006478482184,-34614.0,-66.73993521517816
DISFARMA,CALI,HETERO,20142074-01,HIDROCLOROTIAZIDA+TELMISARTAN 25MG+80MG TAB CX30 (TEMILTAR H) - HETERO,17250,HIDROCLOROTIAZIDA+TELMISARTAN,51864.0,Circular 19 de 2024,0.3326006478482184,-34614.0,-66.73993521517816
DISFARMA,GIRON,HETERO,20142074-01,HIDROCLOROTIAZIDA+TELMISARTAN 25MG+80MG TAB CX30 (TEMILTAR H) - HETERO,17250,HIDROCLOROTIAZIDA+TELMISARTAN,51864.0,Circular 19 de 2024,0.3326006478482184,-34614.0,-66.73993521517816
DISFARMA,CALI,ASTRAZENECA,20142204-02,OLAPARIB 100MG C*112 TAB (LYNPARZA) - ASTRAZENECA,13776000,OLAPARIB,14843024.0,Circular 19 de 2024,0.9281127619277582,-1067024.0,-7.188723807224188
DISFARMA,GIRON,ASTRAZENECA,20142204-02,OLAPARIB 100MG C*112 TAB (LYNPARZA) - ASTRAZENECA,13776000,OLAPARIB,14843024.0,Circular 19 de 2024,0.9281127619277582,-1067024.0,-7.188723807224188
