cum,precio_maximo_venta
20103365-8,7013.0
20103365-1,876.63
20103365-15,876.63
20103365-9,8766.25
20103365-10,10519.5
20103365-26,105195.0
20103365-16,1227.28
20103365-2,1227.28
20103365-11,12272.75
20103365-12,14026.0
20103365-13,15779.25
20103365-27,157792.5
20096365-17,14026.0
20096365-5,14026.0
20096365-20,140260.0
20096365-3,19636.4
20096365-14,2805.2
20096365-18,28052.0
20096365-6,28052.0
20096365-21,280520.0
20096365-22,350650.0
20096365-4,39272.8
20096365-19,42078.0
20096365-7,42078.0
20094219-1,42078.0
20094219-2,42078.0
20094219-3,42078.0
20096365-23,420780.0
20096365-8,56104.0
20096365-1,7013.0
20096365-15,7013.0
20096365-9,70130.0
20096365-10,84156.0
20096365-24,841560.0
20096365-16,9818.2
20096365-2,9818.2
20096365-11,98182.0
20096365-12,112208.0
20096365-13,126234.0
20096365-25,1262340.0
20103364-17,3506.5
20103364-3,3506.5
20103364-22,35065.0
20103364-4,4909.1
20103364-14,701.3
20103364-5,7013.0
20103364-23,70130.0
20103364-24,87662.5
