cum,precio_maximo_venta,circular_origen
20104469-24,174148.5,Circular 19 de 2024
20104469-08,174148.5,Circular 19 de 2024
20104469-17,208978.2,Circular 19 de 2024
20104469-25,208978.2,Circular 19 de 2024
20104469-26,208978.2,Circular 19 de 2024
20104469-09,208978.2,Circular 19 de 2024
20104469-11,34829.7,Circular 19 de 2024
20104469-19,34829.7,Circular 19 de 2024
20104469-03,34829.7,Circular 19 de 2024
20104469-12,52244.55,Circular 19 de 2024
20104469-20,52244.55,Circular 19 de 2024
20104469-04,52244.55,Circular 19 de 2024
20104469-13,69659.4,Circular 19 de 2024
20104469-21,69659.4,Circular 19 de 2024
20104469-05,69659.4,Circular 19 de 2024
20104469-14,104489.1,Circular 19 de 2024
20104469-22,104489.1,Circular 19 de 2024
20104469-28,104489.1,Circular 19 de 2024
20104469-06,104489.1,Circular 19 de 2024
20104469-15,139318.8,Circular 19 de 2024
20104469-23,139318.8,Circular 19 de 2024
20104469-07,139318.8,Circular 19 de 2024
19977706-01,17414.85,Circular 19 de 2024
19977706-02,17414.85,Circular 19 de 2024
20014912-01,17414.85,Circular 19 de 2024
19961092-01,17414.85,Circular 19 de 2024
20167243-01,17414.85,Circular 19 de 2024
20167243-08,17414.85,Circular 19 de 2024
20167239-08,139318.8,Circular 19 de 2024
20167239-01,17414.85,Circular 19 de 2024
20167239-09,17414.85,Circular 19 de 2024
20167239-04,174148.5,Circular 19 de 2024
20167239-02,34829.7,Circular 19 de 2024
20167239-03,69659.4,Circular 19 de 2024
19996115-01,17414.85,Circular 19 de 2024
20167239-05,348297.0,Circular 19 de 2024
20167243-07,17414.85,Circular 19 de 2024
20167243-05,174148.5,Circular 19 de 2024
20167243-06,348297.0,Circular 19 de 2024
20167243-03,69659.4,Circular 19 de 2024
20167243-04,139318.8,Circular 19 de 2024
20095174-01,17414.85,Circular 19 de 2024
20130706-01,17414.85,Circular 19 de 2024
20130706-02,17414.85,Circular 19 de 2024
19989785-09,870742.5,Circular 19 de 2024
19989785-06,17414.85,Circular 19 de 2024
19989785-10,1741485.0,Circular 19 de 2024
19989785-07,34829.7,Circular 19 de 2024
19989785-08,435371.25,Circular 19 de 2024
19989785-04,870742.5,Circular 19 de 2024
19989785-02,17414.85,Circular 19 de 2024
19989785-05,1741485.0,Circular 19 de 2024
19989785-03,435371.25,Circular 19 de 2024
19989785-11,17414.85,Circular 19 de 2024
19989785-01,34829.7,Circular 19 de 2024
20097975-01,17414.85,Circular 19 de 2024
20097975-05,17414.85,Circular 19 de 2024
20097975-02,34829.7,Circular 19 de 2024
20097975-03,52244.55,Circular 19 de 2024
20097975-04,69659.4,Circular 19 de 2024
19979560-01,17414.85,Circular 19 de 2024
20023279-01,17414.85,Circular 19 de 2024
20023279-02,174148.5,Circular 19 de 2024
20023279-05,174148.5,Circular 19 de 2024
20023279-07,174148.5,Circular 19 de 2024
20023279-04,1741485.0,Circular 19 de 2024
20023279-03,870742.5,Circular 19 de 2024
20023279-08,870742.5,Circular 19 de 2024
20062770-01,17414.85,Circular 19 de 2024
19948263-01,17414.85,Circular 19 de 2024
19948263-02,17414.85,Circular 19 de 2024
19981398-01,17414.85,Circular 19 de 2024
19999383-01,17414.85,Circular 19 de 2024
19999383-02,17414.85,Circular 19 de 2024
20067960-01,17414.85,Circular 19 de 2024
20122840-01,17414.85,Circular 19 de 2024
20067960-02,17414.85,Circular 19 de 2024
20107152-01,17414.85,Circular 19 de 2024
20156898-01,17414.85,Circular 19 de 2024
20156900-01,17414.85,Circular 19 de 2024
20119870-01,17414.85,Circular 19 de 2024
19987914-01,17414.85,Circular 19 de 2024
19987914-02,17414.85,Circular 19 de 2024
20052210-15,87074.25,Circular 19 de 2024
20052210-24,87074.25,Circular 19 de 2024
20052210-31,87074.25,Circular 19 de 2024
20052210-09,87074.25,Circular 19 de 2024
20052210-11,17414.85,Circular 19 de 2024
20052210-17,17414.85,Circular 19 de 2024
20052210-19,17414.85,Circular 19 de 2024
20052210-20,17414.85,Circular 19 de 2024
20052210-27,17414.85,Circular 19 de 2024
20052210-03,17414.85,Circular 19 de 2024
20052210-05,17414.85,Circular 19 de 2024
20052210-10,174148.5,Circular 19 de 2024
20052210-16,174148.5,Circular 19 de 2024
20052210-26,174148.5,Circular 19 de 2024
20052210-32,174148.5,Circular 19 de 2024
20052210-12,34829.7,Circular 19 de 2024
20052210-18,34829.7,Circular 19 de 2024
20052210-02,34829.7,Circular 19 de 2024
20052210-21,34829.7,Circular 19 de 2024
20052210-28,34829.7,Circular 19 de 2024
20052210-06,34829.7,Circular 19 de 2024
20052210-13,52244.55,Circular 19 de 2024
20052210-22,52244.55,Circular 19 de 2024
20052210-29,52244.55,Circular 19 de 2024
20052210-07,52244.55,Circular 19 de 2024
20052210-14,69659.4,Circular 19 de 2024
20052210-23,69659.4,Circular 19 de 2024
20052210-30,69659.4,Circular 19 de 2024
20052210-08,69659.4,Circular 19 de 2024
20052210-01,17414.85,Circular 19 de 2024
19909989-02,87074.25,Circular 19 de 2024
19909989-05,870742.5,Circular 19 de 2024
19909989-01,17414.85,Circular 19 de 2024
19909989-03,174148.5,Circular 19 de 2024
19909989-04,435371.25,Circular 19 de 2024
19986358-01,17414.85,Circular 19 de 2024
20099554-01,17414.85,Circular 19 de 2024
20022331-01,17414.85,Circular 19 de 2024
20022334-01,17414.85,Circular 19 de 2024
20022334-02,17414.85,Circular 19 de 2024
19960242-01,17414.85,Circular 19 de 2024
19960242-02,17414.85,Circular 19 de 2024
20103221-07,174148.5,Circular 19 de 2024
20080147-12,104489.1,Circular 19 de 2024
19951553-06,870742.5,Circular 19 de 2024
19951553-12,17414.85,Circular 19 de 2024
19951553-14,174148.5,Circular 19 de 2024
19951553-02,174148.5,Circular 19 de 2024
19951553-04,174148.5,Circular 19 de 2024
19951553-08,174148.5,Circular 19 de 2024
19951553-10,34829.7,Circular 19 de 2024
19951553-11,34829.7,Circular 19 de 2024
19951553-15,348297.0,Circular 19 de 2024
19951553-03,348297.0,Circular 19 de 2024
19951553-05,348297.0,Circular 19 de 2024
19951553-09,348297.0,Circular 19 de 2024
19951553-13,69659.4,Circular 19 de 2024
19951553-07,69659.4,Circular 19 de 2024
19951553-01,17414.85,Circular 19 de 2024
19977582-01,17414.85,Circular 19 de 2024
19977582-02,17414.85,Circular 19 de 2024
19977582-10,174148.5,Circular 19 de 2024
19977582-03,174148.5,Circular 19 de 2024
19977582-11,348297.0,Circular 19 de 2024
19977582-04,348297.0,Circular 19 de 2024
19977582-06,69659.4,Circular 19 de 2024
19977582-07,69659.4,Circular 19 de 2024
19977582-09,69659.4,Circular 19 de 2024
19977582-05,870742.5,Circular 19 de 2024
19977582-08,139318.8,Circular 19 de 2024
20033270-01,17414.85,Circular 19 de 2024
20033270-02,17414.85,Circular 19 de 2024
19908046-02,17414.85,Circular 19 de 2024
19908046-03,17414.85,Circular 19 de 2024
19908046-01,17414.85,Circular 19 de 2024
19965149-01,17414.85,Circular 19 de 2024
19965149-02,17414.85,Circular 19 de 2024
19965149-03,17414.85,Circular 19 de 2024
19965149-04,17414.85,Circular 19 de 2024
19965149-05,17414.85,Circular 19 de 2024
19968924-01,17414.85,Circular 19 de 2024
20131311-01,17414.85,Circular 19 de 2024
20021340-01,17414.85,Circular 19 de 2024
20013627-01,17414.85,Circular 19 de 2024
20014969-01,17414.85,Circular 19 de 2024
20099554-02,17414.85,Circular 19 de 2024
20102114-01,17414.85,Circular 19 de 2024
20102114-02,17414.85,Circular 19 de 2024
20071862-01,17414.85,Circular 19 de 2024
20004822-01,104389.14,Circular 19 de 2024
20004822-03,104389.14,Circular 19 de 2024
20004822-02,1043891.4,Circular 19 de 2024
20004822-04,1043891.4,Circular 19 de 2024
20004822-05,10438914.0,Circular 19 de 2024
54757-03,27817660.0,Circular 19 de 2024
54757-01,55635320.0,Circular 19 de 2024
54757-02,11127064.0,Circular 19 de 2024
19918430-01,2781766.0,Circular 19 de 2024
113757-01,695441.5,Circular 19 de 2024
113757-02,695441.5,Circular 19 de 2024
20106273-01,137814.0,Circular 19 de 2024
20106273-02,137814.0,Circular 19 de 2024
19999612-01,105657.4,Circular 19 de 2024
20016452-01,137814.0,Circular 19 de 2024
20016452-02,137814.0,Circular 19 de 2024
20178975-01,1378140.0,Circular 19 de 2024
20142890-02,137814.0,Circular 19 de 2024
20142890-01,137814.0,Circular 19 de 2024
19945183-02,94266.6,Circular 19 de 2024
20126580-01,94266.6,Circular 19 de 2024
20117190-01,13230.4,Circular 19 de 2024
