proveedor,laboratorio,cum,descripcion,precio,iva,principio_activo
LAFRACOL,LAFRACOL,,"STANIA 11/3,474mg ANILLO VAGINAL",67325.0,,ETONOGESTREL 11mg; ETINILESTRADIOL 3.474mg
LAFRACOL,LAFRACOL,,SUAXINA 85/500 x4 TAB-ENT,9906.0,,SUMATRIPTAN 85 mg; NAPROXENO 500 mg
LAFRACOL,LAFRACOL,,SUPLASYN 60mg ONE SHOT x1 AMP–DM,356937.0,,N/A DISPOSITIVO MEDICO
LAFRACOL,LAFRACOL,,TINOX 2.5 mg x 30 TAB-ENT,999.0,,TIBOLONA 2.5 mg
LAFRACOL,LAFRACOL,,TRETINEX 10 mg x 30 CAP-ENT,1796.0,,ISOTRETINOINA 10 mg
LAFRACOL,LAFRACOL,,TRETINEX 20 mg x 30 CAP-ENT,2112.0,,ISOTRETINOINA 20 mg
LAFRACOL,LAFRACOL,,TRIFOLIOM 40 mg x 50 CAP-ENT,1321.0,,EXT RED CLOVER 4% EQV. ISOFLAVONAS 40 mg
LAFRACOL,LAFRACOL,,TROMIX 500 mg x 3 TAB-ENT,21442.0,,AZITROMICINA DIH EQV. 500mg AZITROMICINA
LAFRACOL,LAFRACOL,,TROMIX 500 mg x 6 TAB,15755.0,,AZITROMICINA DIH EQV. 500mg AZITROMICINA
LAFRACOL,LAFRACOL,,UROMAX 1000mg/4mL x1 AMP-ENT,162019.0,,TESTOSTERONA UNDECANOATO 1000mg
LAFRACOL,LAFRACOL,,VAGICORT CREMA x 20g-ENT,73886.0,,"TERCONAZOL MICRONIZADO 0,8 g; DEXAMETASONA 3.58 mg"
LAFRACOL,LAFRACOL,,VALNOC 2mg x 15 TAB-ENT,1197.0,,"ESZOPICLONA 2,00 mg"
LAFRACOL,LAFRACOL,,VALNOC 3mg x 15 TAB-ENT,1796.0,,ESZOPICLONE 3 mg
LAFRACOL,LAFRACOL,,YAX x 21 TAB-ENT,1061.0,,DROSPIRENONA 3 mg; ETINILESTRADIOL 0.03 mg
LAFRACOL,LAFRACOL,,YAXIBELLE x 28 TAB-ENT,796.0,,DROSPIRENONA 3 mg; ETINILESTRADIOL 0.02 mg
LAFRACOL,LAFRACOL,,ZIMAQUIN 50 mg x 10 TAB-ENT,5184.0,,CLOMIFENO CITRATO 50 mg
LAFRACOL,LAFRACOL,,BETASERC 16MG 2X10TAB-CO-ENT,2766.0,,BETAHISTINA DICLORHIDRATO 16 mg
LAFRACOL,LAFRACOL,,BETASERC 24MG 2X10TAB-CO-ENT,3307.0,,BETAHISTINA DICLORHIDRATO 24 mg
LAFRACOL,LAFRACOL,,CREON 10000PEC 2X10CAPS-CO-ENT,1136.0,,AMILASA 45600 U USP; LIPASA 10000 U USP; PROTEASA 38400 U USP
