laboratorio,proveedor,cum,descripcion,precio,iva_pct,principio_activo
SIEGFRIED FARMA,PHARMAPLUS,20037206-01,ACEMUK 600 MG,3320.0,0.0,ACETILCISTEINA
PHARMAPRIX DERMA,PHARMAPLUS,19971199-01,ZALAIN 300 MG OVULO,71500.0,0.0,NITRATO DE SERTACONAZOL
SIEGFRIED FARMA,PHARMAPLUS,19943979-01,TIROXIN 150 MCG,1817.0,0.0,LEVOTIROXINA SODICA ANHIDRA
GEDEON RICHTER,PHARMAPLUS,20094754-01,JOLIAN 3 MG / 0.02 MG,961.0,0.0,DROSPIRENONA
LAFRANCOL,PHARMAPLUS,19980869-02,PROGENDO 400 MG CAJA,15758.0,0.0,PROGESTERONA MICRONIZADA
XINETIX PHARMA S.A.S,PHARMAPLUS,20109074-06,COSAMIDE 150 MG CAJA,2358.0,0.0,NA
XINETIX PHARMA S.A.S,PHARMAPLUS,20108800-06,COSAMIDE 50 MG CAJA,1297.0,0.0,NA
EXELTIS,PHARMAPLUS,20077141-01,"DROSPERA 20 (3MG + 0,020 MG)",843.0,0.0,DROSPIRENONA
EXELTIS,PHARMAPLUS,20077105-01,GESTAGENO 100 CAJA,3545.0,0.0,PROGESTERONA
EXELTIS,PHARMAPLUS,20080146-01,METRINELLE CAJA,2831.0,0.0,DIENOGEST MICRONIZADO
SIEGFRIED DERMA,PHARMAPLUS,225455-01,CALCITRAL 400 MG,1697.0,19.0,CALCIO ELEMENTAL
TECNOQUIMICAS VISION,PHARMAPLUS,20086574-01,OFTAPREDNOL,59313.0,0.0,LOTEPREDNOL ETABONATO
TECNOQUIMICAS VISION,PHARMAPLUS,20086576-01,OFTAPREDNOL MAX,55247.0,0.0,LOTEPREDNOL ETABONATO
LEGRAND,PHARMAPLUS,20100603-11,"CARDIK IN 160 / 1,25 MG CAJA",3282.0,0.0,INDAPAMIDA
DIABETRICS,PHARMAPLUS,19943098-14,ATOVAROL 20 MG CAJA 60 CAP,3627.0,0.0,ATORVASTATINA CALCICA EQUIVALENTE A ATORVASTATINA BASE
PROCAPS GENERICOS COLMED,PHARMAPLUS,19999677-06,PANTOPRAZOL 40 MG CAJA,2648.0,0.0,PANTOPRAZOL SODICO SESQUIHIDRATO 45.113 MG ( EQUIVALENTE A PANTOPRAZOL BASE)
PROCAPS FARMA RX,PHARMAPLUS,20090823-09,LIPOMEGA 20 MG,5400.0,0.0,ATORVASTATINA 20MG+OMEGA 84% UNIGEL
SIEGFRIED FARMA,PHARMAPLUS,20102484-01,CORBIS 5 MG,696.0,0.0,BISOPROLOL FUMARATO
